Name,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Rating,Price
Lian Li O11 Dynamic EVO XL (3),TypeATX Full Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume84.4 L,"Internal 3.5"" Bays4",(3),€251.70Add
Antec NX200M (7),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays2",(7),€184.11Add
Lian Li A3-mATX (7),TypeMicroATX Mini Tower,ColorWhite / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume26.3 L,"Internal 3.5"" Bays1",(7),€73.44Add
NZXT H9 Flow RGB+ (2025) (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(4),€275.83Add
Lian Li A4-H20 X4 (19),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume11.1 L,"Internal 3.5"" Bays0",(19),€167.45Add
Corsair 3000D AIRFLOW (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume49.5 L,"Internal 3.5"" Bays2",(7),€69.95Add
Deepcool CG530 4F (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Acrylic,External Volume50.0 L,"Internal 3.5"" Bays2",(7),€72.35Add
NZXT H6 Flow RGB (17),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(17),€115.95Add
Fractal Design North (48),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.1 L,"Internal 3.5"" Bays2",(48),€147.35Add
Lian Li A3-mATX (10),TypeMicroATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(10),€60.69Add
Jonsbo D32 PRO (11),TypeMicroATX Desktop,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume25.7 L,"Internal 3.5"" Bays2",(11),€73.90Add
Montech X3 Mesh (15),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays2",(15),€58.35Add
Corsair 7000D AIRFLOW (17),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume81.8 L,"Internal 3.5"" Bays6",(17),€337.90Add
Lian Li LANCOOL 217 INF (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume57.7 L,"Internal 3.5"" Bays4",(4),€114.44Add
Jonsbo NV10 (0),TypeMini ITX Desktop,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume4.5 L,"Internal 3.5"" Bays0",(0),€101.36Add
Zalman T6 Mini (0),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume18.6 L,"Internal 3.5"" Bays2",(0),Add
Fractal Design Ridge PCIe 4.0 (3),TypeMini ITX Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume16.3 L,"Internal 3.5"" Bays0",(3),€132.35Add
Asus ROG Strix Helios II (0),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume83.5 L,"Internal 3.5"" Bays2",(0),€334.79Add
MSI MPG Sekira 500G (0),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume67.1 L,"Internal 3.5"" Bays6",(0),Add
Lian Li O11 Dynamic Mini V2 Flow (1),TypeATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(1),€103.70Add
HAVN BF 360 Flow (2),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume68.4 L,"Internal 3.5"" Bays2",(2),€192.70Add
Cooler Master Elite 301 (8),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume34.1 L,"Internal 3.5"" Bays1",(8),€40.40Add
NZXT H9 Flow RGB+ (2025) (2),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(2),€304.89Add
Fractal Design Define R5 (61),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume54.2 L,"Internal 3.5"" Bays8",(61),€123.80Add
NZXT H510 (167),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume41.3 L,"Internal 3.5"" Bays2",(167),Add
Antec FLUX PRO (8),TypeATX Full Tower,ColorBlack / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume70.8 L,"Internal 3.5"" Bays4",(8),€192.80Add
Montech X5M (4),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.3 L,"Internal 3.5"" Bays2",(4),€47.47Add
Jonsbo Jonsplus Z20 (17),TypeMicroATX Desktop,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume25.3 L,"Internal 3.5"" Bays1",(17),€88.70Add
Jonsbo C6-ITX (0),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume15.9 L,"Internal 3.5"" Bays1",(0),€65.77Add
Fractal Design Pop Mini Air (39),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume36.5 L,"Internal 3.5"" Bays2",(39),€84.95Add
Fractal Design North XL (4),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume61.4 L,"Internal 3.5"" Bays2",(4),€168.17Add
NZXT H6 Flow RGB (16),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(16),€140.86Add
NZXT H3 Flow (1),TypeMicroATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume35.0 L,"Internal 3.5"" Bays1",(1),€69.95Add
Thermaltake View 270 Plus TG ARGB (6),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume47.6 L,"Internal 3.5"" Bays2",(6),€89.90Add
Phanteks EVOLV X2 (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume60.9 L,"Internal 3.5"" Bays2",(7),€149.90Add
NZXT H9 Flow (2025) (1),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(1),€158.26Add
Cooler Master MasterBox NR200P V2 (3),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume20.1 L,"Internal 3.5"" Bays1",(3),€120.00Add
ADATA XPG INVADER X (0),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume52.1 L,"Internal 3.5"" Bays3",(0),€144.59Add
