Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price
Western Digital WD Blue SN5000 (7),Capacity2 TB,Price / GB€0.117,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€234.55Add
Samsung 990 EVO (19),Capacity2 TB,Price / GB€0.088,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X2,(19),€176.87Add
Crucial E100 (1),Capacity1 TB,Price / GB€0.133,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(1),€132.60Add
MSI SPATIUM M461 (5),Capacity2 TB,Price / GB€0.150,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(5),€299.90Add
Samsung 870 Evo (21),Capacity4 TB,Price / GB€0.109,TypeSSD,Cache4096 MB,"Form Factor2.5""",InterfaceSATA 6.0 Gb/s,(21),€434.95Add
Crucial T705 (13),Capacity2 TB,Price / GB€0.119,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(13),€237.99Add
Western Digital Black SN770 (134),Capacity1 TB,Price / GB€0.216,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(134),€215.74Add
Western Digital WD_Black SN850X (7),Capacity8 TB,Price / GB€0.160,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(7),€1278.00Add
ADATA LEGEND 860 (2),Capacity1 TB,Price / GB€0.157,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(2),€157.47Add
Klevv CRAS C910 (12),Capacity1 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(12),Add
