Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price
G.Skill Trident Z5 Neo RGB 32 GB (129),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.216,ColorBlack,First Word Latency10 ns,CAS Latency30,(129),€582.90Add
Corsair Vengeance RGB Pro 16 GB (385),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€11.550,ColorBlack,First Word Latency10 ns,CAS Latency16,(385),€184.80Add
Corsair Vengeance 32 GB (79),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.343,ColorBlack / Gray,First Word Latency10 ns,CAS Latency30,(79),€586.99Add
TEAMGROUP T-Force Vulcan Z 16 GB (120),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€8.906,ColorBlack,First Word Latency10 ns,CAS Latency16,(120),€142.50Add
Patriot Viper Venom 32 GB (26),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€14.747,ColorBlack / White,First Word Latency10 ns,CAS Latency30,(26),€471.90Add
G.Skill Ripjaws V 16 GB (237),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€9.869,ColorBlack,First Word Latency10 ns,CAS Latency16,(237),€157.90Add
Corsair Vengeance RGB 16 GB (2),SpeedDDR5-5200,Modules2 x 8GB,Price / GB€15.305,ColorBlack / Gray,First Word Latency15.385 ns,CAS Latency40,(2),€244.88Add
Crucial Pro 64 GB (2),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€13.250,ColorBlack,First Word Latency13.333 ns,CAS Latency40,(2),€848.00Add
G.Skill Trident Z5 Neo RGB 64 GB (52),SpeedDDR5-6000,Modules2 x 32GB,Price / GB€12.607,ColorBlack / Silver,First Word Latency10 ns,CAS Latency30,(52),€806.87Add
TEAMGROUP T-Force Delta RGB 32 GB (94),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.594,ColorWhite,First Word Latency10 ns,CAS Latency30,(94),€595.00Add
Crucial Classic 16 GB (2),SpeedDDR5-5600,Modules2 x 8GB,Price / GB,ColorBlack,First Word Latency16.429 ns,CAS Latency46,(2),Add
Kingston FURY Beast 16 GB (23),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€8.906,ColorBlack,First Word Latency10 ns,CAS Latency16,(23),€142.50Add
Crucial Pro Overclocking 32 GB (1),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€12.195,ColorBlack,First Word Latency10 ns,CAS Latency32,(1),€390.24Add
Patriot Viper Elite 5 32 GB (0),SpeedDDR5-6000,Modules2 x 16GB,Price / GB,ColorWhite,First Word Latency10 ns,CAS Latency30,(0),Add
Kingston FURY Beast 8 GB (0),SpeedDDR4-3200,Modules1 x 8GB,Price / GB€9.119,ColorBlack,First Word Latency10 ns,CAS Latency16,(0),€72.95Add
